playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
25007,美因茨,0,10,6,2,2,19,12,16.0,10.0,5.0,1.0,40.0,23.0,17.0,35.0,2.0,63%
25007,法兰克福,1,10,5,1,4,17,16,16.0,8.0,3.0,5.0,24.0,26.0,-2.0,27.0,6.0,50%
25007,弗赖堡,0,10,4,3,3,13,18,16.0,9.0,3.0,4.0,36.0,23.0,13.0,30.0,3.0,57%
25007,沃夫斯堡,1,10,6,2,2,21,12,16.0,7.0,3.0,6.0,25.0,21.0,4.0,24.0,11.0,44%
25007,门兴,0,10,5,3,2,19,11,16.0,7.0,3.0,6.0,33.0,28.0,5.0,24.0,10.0,44%
25007,科莫,1,10,2,4,4,10,15,18.0,7.0,7.0,4.0,27.0,18.0,9.0,28.0,8.0,39%
25007,AC米兰,0,10,6,3,1,20,9,19.0,4.0,7.0,8.0,21.0,31.0,-10.0,19.0,16.0,22%
25007,亚特兰大,1,10,6,2,2,23,11,19.0,7.0,12.0,0.0,31.0,16.0,15.0,33.0,5.0,37%
25007,尤文图斯,0,10,3,6,1,17,11,19.0,13.0,3.0,3.0,43.0,20.0,23.0,42.0,3.0,69%
25007,兰斯,1,10,2,3,5,11,14,,,,,,,,,,
25007,摩纳哥,0,10,3,2,5,16,18,,,,,,,,,,
25007,马赛,1,10,7,1,2,22,12,,,,,,,,,,
25007,里尔,0,10,5,5,0,16,10,,,,,,,,,,
25006,阿森纳,1,10,6,3,1,19,8,,,,,,,,,,
25006,曼联,0,10,3,1,6,15,20,,,,,,,,,,
25006,南安普敦,1,10,0,2,8,6,25,,,,,,,,,,
25006,斯旺西,0,10,4,3,3,16,16,,,,,,,,,,
25006,莱红牛,1,10,3,1,6,15,22,15.0,7.0,4.0,4.0,26.0,25.0,1.0,25.0,8.0,47%
25006,不来梅,0,10,6,1,3,16,12,15.0,8.0,3.0,4.0,24.0,20.0,4.0,27.0,5.0,54%
