index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
24021,2024-02-04,3,1,1,1,1,3,0,3,1,0,0,0,3,1
24020,2024-02-03,0,1,0,1,1,1,3,3,0,3,1,1,3,3
24019,2024-02-02,0,1,3,3,3,1,0,1,0,3,3,0,1,1
24018,2024-01-31,0,3,3,1,0,3,1,0,3,0,3,3,3,0
24017,2024-01-29,3,1,0,3,3,3,3,3,1,0,0,1,1,3
24016,2024-01-28,0,1,3,0,0,3,1,3,0,1,1,3,1,1
24015,2024-01-27,1,1,1,0,3,3,3,0,0,0,3,3,3,3
24014,2024-01-26,3,3,0,1,1,1,3,3,1,3,1,1,0,1
24013,2024-01-24,3,3,1,3,3,0,0,0,1,1,0,0,3,3
24012,2024-01-22,1,0,1,0,0,0,3,3,0,0,3,3,0,3
24011,2024-01-21,1,3,3,3,1,3,3,0,1,0,3,0,3,0
24010,2024-01-21,3,0,0,0,*,0,3,3,3,3,3,3,3,3
24009,2024-01-19,1,3,0,0,1,3,0,3,1,3,1,3,0,1
24008,2024-01-17,3,0,0,3,3,3,3,3,3,1,1,3,0,3
24007,2024-01-15,3,3,3,1,1,1,3,3,3,1,3,1,0,1
24006,2024-01-14,3,1,1,3,0,0,1,0,1,1,0,1,3,0
24005,2024-01-14,3,0,3,1,3,0,3,0,1,3,1,3,*,3
24004,2024-01-08,0,1,0,1,3,1,0,0,0,3,0,1,3,1
24003,2024-01-07,0,0,0,0,0,3,3,0,1,3,1,3,0,1
24002,2024-01-05,3,3,3,3,0,1,3,3,3,3,3,3,0,0
24001,2024-01-02,3,3,3,0,0,0,3,1,1,3,1,1,3,3
23174,2023-12-31,0,3,3,3,3,3,3,1,3,1,3,3,3,3
23173,2023-12-27,0,3,0,0,3,3,3,0,3,3,3,3,1,1
23172,2023-12-24,3,0,3,3,0,1,3,0,1,3,3,3,3,3
23171,2023-12-23,1,1,3,3,3,3,0,0,0,1,1,1,0,3
23170,2023-12-21,3,3,0,3,3,3,1,3,3,3,3,3,3,3
23169,2023-12-20,1,1,1,0,0,0,1,0,0,3,3,1,0,0
23168,2023-12-18,3,0,3,1,3,3,3,1,3,3,0,1,1,3
23167,2023-12-18,3,*,3,1,0,1,0,0,3,3,3,3,0,1
23166,2023-12-16,0,1,1,3,1,3,0,3,0,3,3,1,0,0
23165,2023-12-15,3,3,3,0,0,3,3,3,3,3,0,0,3,0
23164,2023-12-14,3,1,3,1,0,0,0,0,3,1,0,3,3,3
23163,2023-12-12,3,3,0,3,1,1,3,0,1,1,1,0,1,3
23162,2023-12-10,1,1,0,3,3,0,3,3,3,3,0,3,3,1
23161,2023-12-09,3,3,0,1,3,3,1,3,3,3,0,0,1,3
23160,2023-12-08,3,0,3,0,3,3,3,0,3,3,3,1,3,1
23159,2023-12-06,3,0,3,0,1,3,3,0,0,3,3,3,3,3
23158,2023-12-04,3,1,3,1,1,0,1,3,3,0,0,1,1,3
23157,2023-12-04,3,3,3,0,3,3,*,3,3,3,3,3,3,3
23156,2023-12-02,0,0,1,3,0,3,3,3,3,3,0,3,1,3
23155,2023-12-01,3,0,1,3,0,0,1,3,1,3,1,3,0,1
23154,2023-11-30,3,0,1,3,0,3,3,0,1,3,1,3,1,1
23153,2023-11-27,0,0,1,1,0,3,3,1,3,0,3,0,1,3
23152,2023-11-26,1,3,0,0,3,0,0,1,3,0,3,0,0,3
23151,2023-11-25,1,0,1,3,3,3,3,0,0,3,0,3,1,3
23150,2023-11-22,0,1,0,0,3,3,0,1,3,3,1,1,1,1
23149,2023-11-20,3,0,1,3,3,1,3,3,3,1,3,0,0,3
23148,2023-11-18,0,3,1,3,0,1,3,1,0,0,3,3,1,3
23147,2023-11-13,3,3,3,1,3,1,3,3,1,1,3,3,1,3
23146,2023-11-12,0,3,3,3,1,1,3,3,1,3,1,0,1,3
23145,2023-11-11,0,3,0,1,1,3,3,1,3,0,0,0,3,3
23144,2023-11-10,0,3,3,3,0,3,3,0,3,3,0,3,3,3
23143,2023-11-09,3,3,3,3,3,3,0,1,3,3,3,0,3,3
23142,2023-11-06,3,1,1,3,3,3,0,3,0,1,0,0,3,3
23141,2023-11-05,3,3,1,3,0,3,1,0,1,0,3,0,0,0
23140,2023-11-02,1,3,3,3,3,3,0,0,3,3,3,3,0,1
23139,2023-11-02,3,1,3,0,1,3,1,3,1,1,1,3,3,*
23138,2023-10-29,3,3,1,3,3,3,0,3,3,0,3,0,3,3
23137,2023-10-27,3,0,0,3,1,1,1,3,3,3,0,3,3,1
23136,2023-10-26,3,0,0,1,0,0,3,3,3,3,0,1,3,0
23135,2023-10-23,3,0,1,3,3,0,3,1,3,3,1,3,3,0
23134,2023-10-22,3,3,0,1,3,1,0,0,0,0,0,3,0,0
23133,2023-10-22,*,3,3,3,1,3,1,3,0,3,*,0,3,0
23132,2023-10-22,3,3,1,3,0,0,0,0,*,0,0,3,0,0
23131,2023-10-16,0,3,3,3,3,3,3,3,1,3,1,3,3,0
23130,2023-10-14,1,3,0,3,1,3,0,3,0,3,1,0,0,0
23129,2023-10-09,1,1,1,3,3,3,3,3,3,0,0,3,1,1
23128,2023-10-08,3,3,3,3,0,1,3,1,3,0,0,1,3,0
23127,2023-10-07,3,1,1,3,1,1,3,0,3,3,3,3,3,0
23126,2023-10-06,1,0,0,1,1,0,3,3,3,0,0,3,1,3
23125,2023-10-05,3,0,3,3,0,3,0,3,0,3,0,0,3,1
23124,2023-09-30,0,0,3,3,3,0,0,0,1,1,3,0,0,0
23123,2023-09-29,0,0,3,3,1,3,0,1,3,1,0,0,0,1
23122,2023-09-25,1,0,3,1,1,0,3,0,1,1,3,1,1,3
23121,2023-09-24,1,3,1,0,0,3,3,0,3,0,3,3,1,3
23120,2023-09-24,1,0,3,3,1,1,3,0,0,*,0,3,1,0
23119,2023-09-22,3,0,3,0,0,3,3,3,3,0,3,0,3,1
23118,2023-09-21,1,3,3,3,1,3,3,3,0,3,1,0,1,3
23117,2023-09-18,1,0,3,1,3,1,3,3,3,3,3,0,1,1
23116,2023-09-17,3,3,3,0,0,0,3,0,3,0,1,3,3,1
23115,2023-09-16,1,0,1,3,1,3,0,3,1,0,3,3,0,1
23114,2023-09-13,3,0,3,3,0,3,3,3,3,3,3,3,0,3
23113,2023-09-11,0,1,0,1,1,1,3,0,3,3,0,0,3,0
23112,2023-09-09,0,3,1,3,3,3,3,0,3,3,0,3,0,1
23111,2023-09-09,3,3,3,1,0,3,3,0,1,*,0,3,3,0
